08.10.2022 - 18:33: 	Пользователь выбрал операцию 	- 📔 ADD
08.10.2022 - 18:33: 	Пользователь добавил данные 	- ['Давид', 'Аветян', '89114567887', 'Аналитик']
08.10.2022 - 18:33: 	Записываем данные в файл 	- data.csv
08.10.2022 - 18:34: 	Пользователь выбрал операцию 	- 🚪 EXIT
08.10.2022 - 18:34: 	Пользователь вышел 	- THE END
08.10.2022 - 18:35: 	Пользователь выбрал операцию 	- 📔 ADD
08.10.2022 - 18:35: 	Пользователь добавил данные 	- ['Даниил', 'Аветян', '84957776556', 'Мой брат']
08.10.2022 - 18:35: 	Записываем данные в файл 	- data.csv
08.10.2022 - 18:35: 	Пользователь выбрал операцию 	- 🚀 CONTINUE
08.10.2022 - 18:36: 	Пользователь выбрал операцию 	- 📔 ADD
08.10.2022 - 18:36: 	Пользователь добавил данные 	- ['Джессика', 'Аветян', '84995433457', 'Моя сестра']
08.10.2022 - 18:36: 	Записываем данные в файл 	- data.csv
08.10.2022 - 18:36: 	Пользователь выбрал операцию 	- 🚪 EXIT
08.10.2022 - 18:36: 	Пользователь вышел 	- THE END
08.10.2022 - 18:38: 	Пользователь выбрал операцию 		- 🚪 EXIT
08.10.2022 - 18:38: 	Пользователь вышел 		- THE END
08.10.2022 - 19:00: 	Пользователь выбрал операцию 	- 🕵‍♂ SEARCH
08.10.2022 - 19:00: 	Поиск нужных данных по значению [Джесс] 	- data.csv
08.10.2022 - 19:01: 	Пользователь выбрал операцию 	- 🚪 EXIT
08.10.2022 - 19:01: 	Пользователь вышел 	- THE END
08.10.2022 - 19:09: 	Пользователь выбрал операцию 	- 🕵‍♂ SEARCH
08.10.2022 - 19:09: 	Поиск нужных данных по значению [Дани] 	- data.csv
08.10.2022 - 19:10: 	Пользователь выбрал операцию 	- 🚀 CONTINUE
08.10.2022 - 19:10: 	Пользователь выбрал операцию 	- 📚 VIEW
08.10.2022 - 19:11: 	Пользователь выбрал операцию 	- 🕵‍♂ SEARCH
08.10.2022 - 19:11: 	Поиск нужных данных по значению [Дав] 	- data.csv
08.10.2022 - 19:24: 	Пользователь выбрал операцию 	- 📚 VIEW ALL
08.10.2022 - 19:24: 	Читаем данные из файла 	- data.csv
08.10.2022 - 19:24: 	Читаем данные из файла 	- data.csv
08.10.2022 - 19:24: 	Пользователь выбрал операцию 	- 🕵‍♂ SEARCH
08.10.2022 - 19:24: 	Поиск нужных данных по значению [Дав] 	- data.csv
08.10.2022 - 19:25: 	Пользователь выбрал операцию 	- 🕵‍♂ SEARCH
08.10.2022 - 19:25: 	Поиск нужных данных по значению [Дав] 	- data.csv
08.10.2022 - 19:35: 	Пользователь выбрал операцию 	- 🕵‍♂ SEARCH
08.10.2022 - 19:35: 	Поиск нужных данных по значению [Дав] 	- data.csv
08.10.2022 - 19:36: 	Пользователь выбрал операцию 	- 🕵‍♂ SEARCH
08.10.2022 - 19:36: 	Поиск нужных данных по значению [Дав] 	- data.csv
08.10.2022 - 19:36: 	Пользователь выбрал операцию 	- 🕵‍♂ SEARCH
08.10.2022 - 19:36: 	Поиск нужных данных по значению [Дан] 	- data.csv
08.10.2022 - 19:37: 	Пользователь выбрал операцию 	- 🚪 EXIT
08.10.2022 - 19:37: 	Пользователь вышел 	- THE END
08.10.2022 - 19:38: 	Пользователь выбрал операцию 	- 🚪 EXIT
08.10.2022 - 19:38: 	Пользователь вышел 	- THE END
08.10.2022 - 19:38: 	Пользователь выбрал операцию 	- 📚 VIEW ALL
08.10.2022 - 19:38: 	Читаем данные из файла 	- data.csv
08.10.2022 - 19:40: 	Пользователь выбрал операцию 	- 📚 VIEW ALL
08.10.2022 - 19:40: 	Читаем данные из файла 	- data.csv
08.10.2022 - 19:40: 	Пользователь выбрал операцию 	- 📚 VIEW ALL
08.10.2022 - 19:41: 	Читаем данные из файла 	- data.csv
08.10.2022 - 19:41: 	Читаем данные из файла 	- data.csv
08.10.2022 - 19:43: 	Пользователь выбрал операцию 	- 📚 VIEW ALL
